family,level,compression,psnr,msssim
coif11,3,74.08004871881259,60.72047791687031,0.9944376985928912
coif11,4,74.0813618943542,62.90288291882348,0.9945512425600415
coif11,5,74.08501416382933,64.83367138104248,0.9945975394753223
coif11,6,74.08595800874986,66.54940631235249,0.9946289483957592
coif11,7,74.08628630263524,67.70441891672343,0.9946372010725397
coif11,8,74.08903576392551,69.82957557341692,0.9946517472372959
coif11,9,74.08123878414719,73.55259274106918,0.994675107880631
coif11,10,74.08382409849473,74.09093102585298,0.9946677398126162
coif12,1,74.05891479993976,50.297685878198905,0.992046885682551
coif12,2,74.09835110292383,50.0392966476472,0.9920689054215946
coif12,3,74.11850014014045,49.911696742660304,0.9922420875397343
coif12,4,74.11226255631779,49.82646998878816,0.9924869100657482
coif12,5,74.10430142959676,49.79259612019571,0.9926899863128723
coif12,6,74.09658652328979,49.75341610904551,0.992844047407867
coif12,7,74.08944613128227,49.68077388066991,0.9929633216254559
coif12,8,74.08850228636172,49.63827954800025,0.9930863915860192
coif12,9,74.08751740470552,49.493202380106936,0.9931426529881551
coif12,10,74.08833813941904,49.48087781516095,0.9932364428408903
coif13,1,74.05230788549602,55.3874407181505,0.993664098610972
coif13,2,74.06925605732995,58.365008846913426,0.994209018381968
coif13,3,74.08070530658341,60.998885300510054,0.9944576803158156
coif13,4,74.08365995155202,63.338112909371524,0.9945674025803285
coif13,5,74.08460379647256,65.3509065692469,0.9946102891826311
coif13,6,74.08127982088286,66.89568601179063,0.9946222791510013
coif13,7,74.08439861279419,68.07039232676036,0.9946323117402279
coif13,8,74.08431653932284,69.08692428440563,0.9946398807973953
coif13,9,74.08402928217312,72.55425538468076,0.9946723110242484
coif13,10,74.08591697201418,74.65882964433379,0.9946668715322209
